Proposta pendente;Mês;Produto;Nome da Campanha;Tipo;Digital;Videos;Print;peças alteradas pós 3 rodada;Status;Data inicio;Data final;DATA REAL FINAL;diferença final e real;Producer PXP;GP DPZ;Valor Proposta Ratecard Hub;Cobrado em;Custo extra (CE);
;;;2023;;483;261;35;5;;;;;;;;R$515.939,01;;;
;Agosto 23;Megane E-tech;REN0070-RNLT0049CRI014-RNT-MEGANE-E-TECH-ROTEIROS-FILMES-30-15v1-15v2-5;Video Broadcast;0;4;0;0;Entregue;23/08/23;25/08/23;;;Marilete Botelho;Leandro Neublum;R$3.698,50;Ago/23;R$0,00;
;Agosto 23;Projeto tênis;REN0072-RNLT0060CRI002-RNT-PROJETO-TERRÃO-OOH-IBIRAPUERA;Video no Broadcast;0;1;0;0;Entregue;23/08/23;24/08/23;;;Jéssica Gerald;Jessica Alencar;R$2.318,59;Ago/23;R$0,00;
;Setembro 23;E-tech;REN0073-RNLT0109CRI003-RNT-VINHETA-E-TECH-COMO-FOI-2022;Video no Broadcast;0;1;0;0;Entregue;24/08/23;25/08/23;;;Jéssica Gerald;Gustavo Albuquerque;R$3.864,28;Set/23;R$0,00;
;Agosto 23;HJF;REN0074-RNT-KARDIAN-R-TALK-ONE;Video no Broadcast;0;3;0;0;Entregue;25/08/23;25/08/23;;;Marilete Botelho;Priscila Martins;R$4.802,61;Ago/23;R$0,00;
;Agosto 23;Megane E-tech;REN0075-RNLT0049CRI014-RNT-MEGANEETECH-CINEMA60s;Video Broadcast;0;1;0;0;Entregue;25/08/23;28/08/23;;;Marilete Botelho;Leandro Neublum;R$1.876,90;Ago/23;R$0,00;
;Setembro 23;Pós-vendas;REN0076-RNLT0078CRI159-RNT-POSVENDAS0-DESTAQUES-STORIES;Video no Broadcast;0;6;0;0;Entregue;28/08/23;15/09/23;;;Jéssica Gerald;Leandro Neublum;R$4.305,91;Set/23;R$0,00;
;Setembro 23;Kwid;REN0077-RNT-RDEMOS-KWID-PH2-AJUSTES;Video no Broadcast;0;36;0;0;Entregue;31/08/23;18/09/23;;;Marilete Botelho;Gustavo Albuquerque;R$57.632,96;Out/23;R$0,00;
;Setembro 23;Oroch;REN0079-RNT-OROCH-PEÇAS-DIGITAIS-BUY;Static Banners;7;0;0;0;Entregue;05/09/23;06/09/23;;;Marilete Botelho;Leandro Neublum;R$1.854,85;Set/23;R$0,00;
;Setembro 23;E-tech;REN0080-RNT-PACUBRA-FILMES;Video no Broadcast;0;13;0;0;Entregue;06/09/23;08/09/23;;;Jéssica Gerald;Priscila Martins;R$46.923,39;Set/23;R$0,00;
;Setembro 23;Social AON;REN0081-RNT-SOCIAL_GLOBAL-RTALK_HCB(SCENIC);Video no Broadcast;0;6;0;0;Entregue;08/09/23;11/09/23;;;Jessica Gerald;Fabiana Delboni;R$7.949,38;Set/23;R$0,00;
;Setembro 23;E-tech;REN0082-DPZ-RNT-E-TECH-DAYS-DESDO-PRE-EVENTO;"Digital Standard HTML
Rich Media Banners
Static Banners
Video no Broadcast";10;7;0;0;Entregue;13/09/23;15/09/23;;;Marilete Botelho;Gustavo Albuquerque;R$14.485,53;Set/23;R$0,00;
;Setembro 23;Megane E-tech;REN0084 - RNT | Megane E-tech Desdobramento OOH e Anúncios;"Double Page
OOH Static
Rich Media Banners
Single Page
Static Banners";36;2;5;5;Entregue;15/09/23;15/09/23;;;Jessica Gerald;Fabiana Delboni;R$27.926,32;Set/23;R$5.041,62;
;Setembro 23;Megane E-tech;REN0085 - RNT | Megane E-tech Desdobramento Peças Digitais;"Static Banners
Video Broadcast";20;6;0;0;Entregue;15/09/23;15/09/23;;;Jessica Gerald;Fabiana Delboni;R$5.299,58;Set/23;R$0,00;
;Setembro 23;E-tech;REN0086 - RNT-PACUBRA-FILMES-KANGOO-ETECH;Video no Broadcast;0;1;0;0;Entregue;18/09/23;18/09/23;;;Jessica Gerald;Gustavo Albuquerque;R$3.864,28;Set/23;R$0,00;
;Setembro 23;E-tech;REN0087 - RNT-E-TECH-DAYS-DESDO-DURANTE;Video no Broadcast;0;3;0;0;Entregue;20/09/23;20/09/23;;;Marilete Botelho;Gustavo Albuquerque;R$2.152,96;Set/23;R$0,00;
;Setembro 23;E-tech;REN0088 - RNT-E-TECH-DAYS-DESDO-PRE-EVENTO-2;Digital Standard HTML;3;0;0;0;Entregue;20/09/23;21/09/23;;;Marilete Botelho;Gustavo Albuquerque;R$629,32;Set/23;R$0,00;
;Setembro 23;Kwid E-Tech;REN0089 - REN-KWID-E-TECH-RODAPE-ESTADAO;Single Page;0;0;1;0;Entregue;25/09/23;25/09/23;;;Jessica Gerald;Gustavo Albuquerque;R$853,89;Set/23;R$0,00;
;Setembro 23;Megane E-tech;REN0090 - RNT-MEGANE-30-HARDEST-RUN;Video no Broadcast;1;0;0;0;Entregue;25/09/23;27/09/23;;;Jessica Gerald;Gustavo Albuquerque;R$2.097,75;Set/23;R$0,00;
;Setembro 23;E-tech;REN0091 - RNT-E-TECH-DAYS-COBERTURA-REELS-2;Video no Broadcast;0;1;0;0;Entregue;26/09/23;26/09/23;;;Jessica Gerald;Gustavo Albuquerque;R$1.876,94;Set/23;R$0,00;
;Outubro 23;"Duster
Institucional
Kwid E-Tech
Oroch";REN0092 - RNT| INSTITUCIONAL| Videos Painel de Led;Video Broadcast;0;6;0;0;Entregue;26/09/23;28/09/23;;;Jéssica Gerald;Leandro Neublum;R$24.731,38;Out/23;R$0,00;
